date,day_of_week,is_weekend,is_holiday,holiday_name,temperature,rainfall,event_impact_level,area_density_score,sales_1_day_ago,sales_7_days_ago,revenue,orders
2024-02-03,6,1,0,,24.30,5.41,1,63,634000.00,717000.00,666000.00,26
2024-02-04,7,1,0,,23.75,0.00,1,70,666000.00,571000.00,703000.00,28
2024-02-05,1,0,1,Mùng 1 Tết,25.08,0.00,1,76,703000.00,485000.00,993000.00,39
2024-02-06,2,0,1,Mùng 2 Tết,23.58,0.00,1,76,993000.00,498000.00,967000.00,38
2024-02-07,3,0,1,Mùng 3 Tết,20.27,0.00,1,75,967000.00,488000.00,1099000.00,43
2024-02-08,4,0,1,Mùng 4 Tết,24.13,0.00,1,78,1099000.00,583000.00,1179000.00,47
2024-02-09,5,0,1,Mùng 5 Tết,20.19,1.43,1,78,1179000.00,634000.00,1206000.00,48
2024-02-10,6,1,1,Mùng 6 Tết,22.67,0.00,1,68,1206000.00,666000.00,1238000.00,49
2024-02-11,7,1,0,,20.24,1.18,1,60,1238000.00,703000.00,816000.00,32
2024-02-12,1,0,0,,19.28,0.00,1,68,816000.00,993000.00,466000.00,18
2024-02-13,2,0,0,,22.92,0.00,1,62,466000.00,967000.00,525000.00,21
2024-02-14,3,0,1,Valentine,21.11,1.68,1,73,525000.00,1099000.00,717000.00,28
2024-02-15,4,0,0,,19.63,0.00,1,65,717000.00,1179000.00,507000.00,20
2024-02-16,5,0,0,,23.54,0.00,1,69,507000.00,1206000.00,580000.00,23
2024-02-17,6,1,0,,20.94,0.00,1,66,580000.00,1238000.00,784000.00,31
2024-02-18,7,1,0,,25.52,4.04,1,69,784000.00,816000.00,730000.00,29
2024-02-19,1,0,0,,21.98,0.00,1,61,730000.00,466000.00,503000.00,20
2024-02-20,2,0,0,,23.56,1.31,1,69,503000.00,525000.00,442000.00,17
2024-02-21,3,0,0,,23.99,0.00,1,64,442000.00,717000.00,554000.00,22
2024-02-22,4,0,0,,19.06,0.00,1,64,554000.00,507000.00,499000.00,19
2024-02-23,5,0,0,,24.70,0.00,1,62,499000.00,580000.00,602000.00,24
2024-02-24,6,1,0,,24.16,0.00,1,60,602000.00,784000.00,608000.00,24
2024-02-25,7,1,0,,23.61,0.00,1,69,608000.00,730000.00,765000.00,30
2024-02-26,1,0,0,,22.25,1.43,1,60,765000.00,503000.00,580000.00,23
2024-02-27,2,0,0,,19.79,2.10,1,66,580000.00,442000.00,489000.00,19
2024-02-28,3,0,0,,24.47,0.00,1,62,489000.00,554000.00,616000.00,24
2024-02-29,4,0,0,,22.18,6.49,1,64,616000.00,499000.00,550000.00,22
2024-03-01,5,0,0,,24.94,0.00,1,64,550000.00,602000.00,652000.00,26
2024-03-02,6,1,0,,23.65,0.00,1,66,652000.00,608000.00,794000.00,31
2024-03-03,7,1,0,,24.54,0.00,1,69,794000.00,765000.00,636000.00,25
2024-03-04,1,0,0,,28.59,5.59,1,60,636000.00,580000.00,546000.00,21
2024-03-05,2,0,0,,30.20,0.00,1,66,546000.00,489000.00,611000.00,24
2024-03-06,3,0,0,,28.59,0.00,1,63,611000.00,616000.00,624000.00,24
2024-03-07,4,0,0,,27.35,0.00,1,60,624000.00,550000.00,716000.00,28
2024-03-08,5,0,1,Quốc tế Phụ nữ,23.02,0.00,1,68,716000.00,652000.00,856000.00,34
2024-03-09,6,1,0,,27.77,0.00,1,67,856000.00,794000.00,796000.00,31
2024-03-10,7,1,0,,25.92,0.00,1,62,796000.00,636000.00,696000.00,27
2024-03-11,1,0,0,,28.06,0.00,1,70,696000.00,546000.00,566000.00,22
2024-03-12,2,0,0,,24.11,0.00,1,68,566000.00,611000.00,607000.00,24
2024-03-13,3,0,0,,26.76,0.00,1,62,607000.00,624000.00,689000.00,27
2024-03-14,4,0,0,,21.75,0.00,1,66,689000.00,716000.00,551000.00,22
2024-03-15,5,0,0,,23.06,0.00,1,60,551000.00,856000.00,696000.00,27
2024-03-16,6,1,0,,27.64,0.00,1,60,696000.00,796000.00,750000.00,30
2024-03-17,7,1,0,,27.08,0.00,1,70,750000.00,696000.00,610000.00,24
2024-03-18,1,0,0,,25.35,1.65,1,63,610000.00,566000.00,585000.00,23
2024-03-19,2,0,0,,29.32,0.00,1,62,585000.00,607000.00,621000.00,24
2024-03-20,3,0,0,,27.75,0.00,1,64,621000.00,689000.00,714000.00,28
2024-03-21,4,0,0,,26.75,3.63,1,64,714000.00,551000.00,651000.00,26
2024-03-22,5,0,0,,24.15,0.00,1,68,651000.00,696000.00,801000.00,32
2024-03-23,6,1,0,,26.31,0.00,1,66,801000.00,750000.00,767000.00,30
2024-03-24,7,1,0,,25.99,0.00,1,70,767000.00,610000.00,731000.00,29
2024-03-25,1,0,0,,22.79,0.00,1,66,731000.00,585000.00,606000.00,24
2024-03-26,2,0,0,,24.55,0.00,1,62,606000.00,621000.00,545000.00,21
2024-03-27,3,0,0,,28.22,0.00,1,69,545000.00,714000.00,503000.00,20
2024-03-28,4,0,0,,28.64,0.00,1,61,503000.00,651000.00,544000.00,21
2024-03-29,5,0,0,,24.66,0.00,1,60,544000.00,801000.00,704000.00,28
2024-03-30,6,1,0,,23.85,0.00,1,60,704000.00,767000.00,773000.00,30
2024-03-31,7,1,0,,22.66,5.03,1,65,773000.00,731000.00,648000.00,25
2024-04-01,1,0,0,,29.08,0.00,1,62,648000.00,606000.00,574000.00,22
2024-04-02,2,0,0,,28.51,0.00,1,60,574000.00,545000.00,721000.00,28
2024-04-03,3,0,0,,28.73,0.00,1,68,721000.00,503000.00,707000.00,28
2024-04-04,4,0,0,,28.33,0.00,1,64,707000.00,544000.00,640000.00,25
2024-04-05,5,0,0,,27.58,0.00,1,69,640000.00,704000.00,735000.00,29
2024-04-06,6,1,0,,25.56,0.00,1,63,735000.00,773000.00,809000.00,32
2024-04-07,7,1,0,,25.59,0.00,1,60,809000.00,648000.00,840000.00,33
2024-04-08,1,0,0,,31.38,0.00,1,62,840000.00,574000.00,529000.00,21
2024-04-09,2,0,0,,29.22,0.00,1,67,529000.00,721000.00,541000.00,21
2024-04-10,3,0,0,,31.30,0.00,1,67,541000.00,707000.00,578000.00,23
2024-04-11,4,0,0,,28.34,0.00,1,68,578000.00,640000.00,690000.00,27
2024-04-12,5,0,0,,26.02,0.00,1,61,690000.00,735000.00,768000.00,30
2024-04-13,6,1,0,,28.50,4.09,1,64,768000.00,809000.00,837000.00,33
2024-04-14,7,1,0,,28.01,0.00,1,64,837000.00,840000.00,825000.00,33
2024-04-15,1,0,0,,26.84,0.00,1,68,825000.00,529000.00,666000.00,26
2024-04-16,2,0,0,,25.54,0.00,1,61,666000.00,541000.00,647000.00,25
2024-04-17,3,0,0,,26.51,0.00,1,61,647000.00,578000.00,638000.00,25
2024-04-18,4,0,1,Giỗ Tổ Hùng Vương,30.30,0.00,1,68,638000.00,690000.00,820000.00,32
2024-04-19,5,0,0,,31.71,0.00,1,68,820000.00,768000.00,877000.00,35
2024-04-20,6,1,0,,26.99,0.00,1,64,877000.00,837000.00,1065000.00,42
2024-04-21,7,1,0,,30.68,0.00,1,65,1065000.00,825000.00,914000.00,36
2024-04-22,1,0,0,,28.37,0.00,1,61,914000.00,666000.00,612000.00,24
2024-04-23,2,0,0,,25.87,0.00,1,63,612000.00,647000.00,515000.00,20
2024-04-24,3,0,0,,24.35,0.00,1,66,515000.00,638000.00,740000.00,29
2024-04-25,4,0,0,,31.43,0.00,1,69,740000.00,820000.00,707000.00,28
2024-04-26,5,0,0,,27.97,0.00,1,67,707000.00,877000.00,803000.00,32
2024-04-27,6,1,0,,28.23,0.00,1,70,803000.00,1065000.00,843000.00,33
2024-04-28,7,1,0,,24.73,0.00,1,66,843000.00,914000.00,885000.00,35
2024-04-29,1,0,0,,28.66,1.51,1,61,885000.00,612000.00,605000.00,24
2024-04-30,2,0,1,Giải phóng miền Nam,29.72,0.00,1,69,605000.00,515000.00,865000.00,34
2024-05-01,3,0,1,Quốc tế Lao động,29.71,4.26,1,69,865000.00,740000.00,887000.00,35
2024-05-02,4,0,0,,29.94,0.00,1,69,887000.00,707000.00,685000.00,27
2024-05-03,5,0,0,,31.27,10.43,1,60,685000.00,803000.00,746000.00,29
2024-05-04,6,1,0,,29.57,0.00,1,67,746000.00,843000.00,897000.00,35
2024-05-05,7,1,0,,30.97,0.00,1,67,897000.00,885000.00,753000.00,30
2024-05-06,1,0,0,,32.55,0.00,1,66,753000.00,605000.00,677000.00,27
2024-05-07,2,0,0,,29.32,0.00,1,69,677000.00,865000.00,592000.00,23
2024-05-08,3,0,0,,30.62,0.00,1,66,592000.00,887000.00,623000.00,24
2024-05-09,4,0,0,,30.16,0.00,1,68,623000.00,685000.00,666000.00,26
2024-05-10,5,0,0,,28.88,0.00,1,62,666000.00,746000.00,878000.00,35
2024-05-11,6,1,0,,31.82,0.00,1,65,878000.00,897000.00,1099000.00,43
2024-05-12,7,1,0,,29.56,0.00,1,62,1099000.00,753000.00,854000.00,34
2024-05-13,1,0,0,,32.87,0.00,1,61,854000.00,677000.00,705000.00,28
2024-05-14,2,0,0,,30.07,4.55,1,63,705000.00,592000.00,614000.00,24
2024-05-15,3,0,0,,28.61,0.00,1,70,614000.00,623000.00,682000.00,27
2024-05-16,4,0,0,,31.86,0.00,1,67,682000.00,666000.00,677000.00,27
2024-05-17,5,0,0,,31.63,0.00,1,70,677000.00,878000.00,811000.00,32
2024-05-18,6,1,0,,31.75,0.00,1,65,811000.00,1099000.00,974000.00,38
2024-05-19,7,1,0,,29.36,0.00,1,63,974000.00,854000.00,805000.00,32
2024-05-20,1,0,0,,31.46,5.62,1,64,805000.00,705000.00,574000.00,22
2024-05-21,2,0,0,,31.65,0.00,1,62,574000.00,614000.00,633000.00,25
2024-05-22,3,0,0,,30.28,3.32,1,64,633000.00,682000.00,643000.00,25
2024-05-23,4,0,0,,31.64,4.38,1,62,643000.00,677000.00,648000.00,25
2024-05-24,5,0,0,,31.37,0.00,1,61,648000.00,811000.00,760000.00,30
2024-05-25,6,1,0,,31.06,0.00,1,62,760000.00,974000.00,856000.00,34
2024-05-26,7,1,0,,30.63,0.00,1,67,856000.00,805000.00,843000.00,33
2024-05-27,1,0,0,,31.30,0.00,1,62,843000.00,574000.00,658000.00,26
2024-05-28,2,0,0,,31.09,0.00,1,69,658000.00,633000.00,620000.00,24
2024-05-29,3,0,0,,30.09,0.00,1,61,620000.00,643000.00,707000.00,28
2024-05-30,4,0,0,,30.12,0.00,1,62,707000.00,648000.00,789000.00,31
2024-05-31,5,0,0,,31.56,0.00,1,60,789000.00,760000.00,932000.00,37
2024-06-01,6,1,0,,32.19,0.00,1,64,932000.00,856000.00,1014000.00,40
2024-06-02,7,1,0,,32.08,8.21,1,63,1014000.00,843000.00,860000.00,34
2024-06-03,1,0,0,,33.17,0.00,1,66,860000.00,658000.00,733000.00,29
2024-06-04,2,0,0,,34.52,0.00,1,60,733000.00,620000.00,782000.00,31
2024-06-05,3,0,0,,32.66,12.78,1,60,782000.00,707000.00,719000.00,28
2024-06-06,4,0,0,,31.90,0.00,1,67,719000.00,789000.00,691000.00,27
2024-06-07,5,0,0,,31.87,0.00,1,63,691000.00,932000.00,977000.00,39
2024-06-08,6,1,0,,32.96,0.00,1,62,977000.00,1014000.00,1122000.00,44
2024-06-09,7,1,0,,33.85,0.00,1,63,1122000.00,860000.00,1034000.00,41
2024-06-10,1,0,0,,29.67,0.00,1,70,1034000.00,733000.00,751000.00,30
2024-06-11,2,0,0,,32.14,0.00,1,68,751000.00,782000.00,663000.00,26
2024-06-12,3,0,0,,32.84,0.00,1,63,663000.00,719000.00,703000.00,28
2024-06-13,4,0,0,,31.08,11.36,1,63,703000.00,691000.00,638000.00,25
2024-06-14,5,0,0,,31.21,21.61,1,68,638000.00,977000.00,758000.00,30
2024-06-15,6,1,0,,30.84,0.00,1,69,758000.00,1122000.00,991000.00,39
2024-06-16,7,1,0,,30.59,0.00,1,70,991000.00,1034000.00,790000.00,31
2024-06-17,1,0,0,,31.72,0.00,1,70,790000.00,751000.00,688000.00,27
2024-06-18,2,0,0,,30.00,0.00,1,62,688000.00,663000.00,661000.00,26
2024-06-19,3,0,0,,32.37,1.05,1,70,661000.00,703000.00,824000.00,32
2024-06-20,4,0,0,,30.96,0.00,1,67,824000.00,638000.00,745000.00,29
2024-06-21,5,0,0,,30.47,0.00,1,66,745000.00,758000.00,778000.00,31
2024-06-22,6,1,0,,31.98,0.00,1,60,778000.00,991000.00,902000.00,36
2024-06-23,7,1,0,,33.15,21.92,1,62,902000.00,790000.00,789000.00,31
2024-06-24,1,0,0,,33.47,0.00,1,61,789000.00,688000.00,554000.00,22
2024-06-25,2,0,0,,33.71,4.70,1,69,554000.00,661000.00,714000.00,28
2024-06-26,3,0,0,,31.58,1.73,1,61,714000.00,824000.00,818000.00,32
2024-06-27,4,0,0,,31.49,0.00,1,62,818000.00,745000.00,824000.00,32
2024-06-28,5,0,0,,32.67,1.69,1,60,824000.00,778000.00,854000.00,34
2024-06-29,6,1,0,,32.39,0.00,1,67,854000.00,902000.00,1095000.00,43
2024-06-30,7,1,0,,32.55,0.00,1,63,1095000.00,789000.00,1010000.00,40
2024-07-01,1,0,0,,31.83,0.00,1,66,1010000.00,554000.00,642000.00,25
2024-07-02,2,0,0,,30.13,0.00,1,61,642000.00,714000.00,674000.00,26
2024-07-03,3,0,0,,29.87,0.00,1,69,674000.00,818000.00,670000.00,26
2024-07-04,4,0,0,,32.86,0.00,1,63,670000.00,824000.00,759000.00,30
2024-07-05,5,0,0,,31.37,0.00,1,61,759000.00,854000.00,889000.00,35
2024-07-06,6,1,0,,28.68,0.00,1,67,889000.00,1095000.00,917000.00,36
2024-07-07,7,1,0,,31.83,0.00,1,61,917000.00,1010000.00,790000.00,31
2024-07-08,1,0,0,,31.34,6.01,1,66,790000.00,642000.00,548000.00,21
2024-07-09,2,0,0,,32.30,0.00,1,69,548000.00,674000.00,627000.00,25
2024-07-10,3,0,0,,29.83,5.16,1,60,627000.00,670000.00,604000.00,24
2024-07-11,4,0,0,,32.22,0.00,1,64,604000.00,759000.00,884000.00,35
2024-07-12,5,0,0,,31.47,5.79,1,68,884000.00,889000.00,891000.00,35
2024-07-13,6,1,0,,35.09,0.00,1,64,891000.00,917000.00,1068000.00,42
2024-07-14,7,1,0,,32.00,0.28,1,63,1068000.00,790000.00,881000.00,35
2024-07-15,1,0,0,,31.76,0.00,1,70,881000.00,548000.00,687000.00,27
2024-07-16,2,0,0,,31.34,2.05,1,65,687000.00,627000.00,796000.00,31
2024-07-17,3,0,0,,31.44,1.72,1,60,796000.00,604000.00,730000.00,29
2024-07-18,4,0,0,,31.14,0.00,1,69,730000.00,884000.00,638000.00,25
2024-07-19,5,0,0,,32.78,0.00,1,60,638000.00,891000.00,764000.00,30
2024-07-20,6,1,0,,29.77,0.00,1,66,764000.00,1068000.00,880000.00,35
2024-07-21,7,1,0,,33.86,3.72,1,60,880000.00,881000.00,893000.00,35
2024-07-22,1,0,0,,29.78,0.00,1,67,893000.00,687000.00,635000.00,25
2024-07-23,2,0,0,,32.40,0.00,1,64,635000.00,796000.00,777000.00,31
2024-07-24,3,0,0,,32.58,6.68,1,66,777000.00,730000.00,789000.00,31
2024-07-25,4,0,0,,31.77,0.00,1,64,789000.00,638000.00,629000.00,25
2024-07-26,5,0,0,,31.14,0.00,1,70,629000.00,764000.00,782000.00,31
2024-07-27,6,1,0,,31.30,0.00,1,66,782000.00,880000.00,1014000.00,40
2024-07-28,7,1,0,,31.40,0.00,1,67,1014000.00,893000.00,1058000.00,42
2024-07-29,1,0,0,,31.94,1.86,1,66,1058000.00,635000.00,732000.00,29
2024-07-30,2,0,0,,32.04,0.00,1,68,732000.00,777000.00,606000.00,24
2024-07-31,3,0,0,,31.69,0.00,1,61,606000.00,789000.00,789000.00,31
2024-08-01,4,0,0,,32.07,0.00,1,66,789000.00,629000.00,728000.00,29
2024-08-02,5,0,0,,34.90,3.37,1,63,728000.00,782000.00,768000.00,30
2024-08-03,6,1,0,,30.00,0.00,1,67,768000.00,1014000.00,816000.00,32
2024-08-04,7,1,0,,30.58,2.38,1,60,816000.00,1058000.00,746000.00,29
2024-08-05,1,0,0,,30.63,2.69,1,65,746000.00,732000.00,545000.00,21
2024-08-06,2,0,0,,32.20,0.00,1,61,545000.00,606000.00,642000.00,25
2024-08-07,3,0,0,,32.39,6.63,1,69,642000.00,789000.00,704000.00,28
2024-08-08,4,0,0,,30.81,3.86,1,65,704000.00,728000.00,693000.00,27
2024-08-09,5,0,0,,31.76,0.00,1,60,693000.00,768000.00,813000.00,32
2024-08-10,6,1,0,,30.14,3.69,1,68,813000.00,816000.00,895000.00,35
2024-08-11,7,1,0,,33.32,18.34,1,68,895000.00,746000.00,739000.00,29
2024-08-12,1,0,0,,30.42,8.46,1,61,739000.00,545000.00,566000.00,22
2024-08-13,2,0,0,,28.38,1.80,1,64,566000.00,642000.00,551000.00,22
2024-08-14,3,0,0,,30.99,0.00,1,62,551000.00,704000.00,669000.00,26
2024-08-15,4,0,0,,31.05,9.51,1,65,669000.00,693000.00,763000.00,30
2024-08-16,5,0,0,,32.65,6.14,1,68,763000.00,813000.00,762000.00,30
2024-08-17,6,1,0,,29.57,0.00,1,66,762000.00,895000.00,867000.00,34
2024-08-18,7,1,0,,30.06,0.00,1,66,867000.00,739000.00,801000.00,32
2024-08-19,1,0,0,,31.83,3.72,1,61,801000.00,566000.00,611000.00,24
2024-08-20,2,0,0,,31.63,0.00,1,66,611000.00,551000.00,616000.00,24
2024-08-21,3,0,0,,31.98,0.78,1,66,616000.00,669000.00,612000.00,24
2024-08-22,4,0,0,,29.99,0.00,1,64,612000.00,763000.00,654000.00,26
2024-08-23,5,0,0,,31.42,6.68,1,70,654000.00,762000.00,750000.00,30
2024-08-24,6,1,0,,31.74,0.00,1,65,750000.00,867000.00,803000.00,32
2024-08-25,7,1,0,,32.79,1.31,1,66,803000.00,801000.00,813000.00,32
2024-08-26,1,0,0,,31.57,4.04,1,70,813000.00,611000.00,636000.00,25
2024-08-27,2,0,0,,30.17,1.44,1,66,636000.00,616000.00,494000.00,19
2024-08-28,3,0,0,,30.19,0.00,1,63,494000.00,612000.00,662000.00,26
2024-08-29,4,0,0,,29.08,0.00,1,67,662000.00,654000.00,712000.00,28
2024-08-30,5,0,0,,31.98,0.00,1,70,712000.00,750000.00,728000.00,29
2024-08-31,6,1,0,,28.23,3.64,1,60,728000.00,803000.00,789000.00,31
2024-09-01,7,1,0,,29.78,22.09,1,67,789000.00,813000.00,567000.00,22
2024-09-02,1,0,1,Quốc khánh,27.66,7.68,1,74,567000.00,636000.00,705000.00,28
2024-09-03,2,0,0,,23.54,13.27,1,68,705000.00,494000.00,470000.00,18
2024-09-04,3,0,0,,25.65,17.69,1,64,470000.00,662000.00,462000.00,18
2024-09-05,4,0,0,,26.51,6.69,1,67,462000.00,712000.00,557000.00,22
2024-09-06,5,0,0,,32.43,8.35,1,68,557000.00,728000.00,662000.00,26
2024-09-07,6,1,0,,31.05,0.00,1,60,662000.00,789000.00,623000.00,24
2024-09-08,7,1,0,,28.40,8.81,1,63,623000.00,567000.00,627000.00,25
2024-09-09,1,0,0,,30.87,0.00,1,60,627000.00,705000.00,434000.00,17
2024-09-10,2,0,0,,26.75,11.77,1,61,434000.00,470000.00,413000.00,16
2024-09-11,3,0,0,,27.04,0.00,1,61,413000.00,462000.00,514000.00,20
2024-09-12,4,0,0,,26.54,14.85,1,70,514000.00,557000.00,476000.00,19
2024-09-13,5,0,0,,28.62,0.00,1,67,476000.00,662000.00,538000.00,21
2024-09-14,6,1,0,,28.79,0.00,1,70,538000.00,623000.00,685000.00,27
2024-09-15,7,1,0,,32.73,9.71,1,68,685000.00,627000.00,673000.00,26
2024-09-16,1,0,0,,31.50,33.82,1,68,673000.00,434000.00,335000.00,13
2024-09-17,2,0,0,,27.86,0.00,1,63,335000.00,413000.00,470000.00,18
2024-09-18,3,0,0,,29.64,15.10,1,67,470000.00,514000.00,400000.00,16
2024-09-19,4,0,0,,30.90,0.00,1,62,400000.00,476000.00,464000.00,18
2024-09-20,5,0,0,,29.63,3.18,1,60,464000.00,538000.00,549000.00,21
2024-09-21,6,1,0,,29.30,0.00,1,63,549000.00,685000.00,694000.00,27
2024-09-22,7,1,0,,31.27,0.00,1,67,694000.00,673000.00,674000.00,26
2024-09-23,1,0,0,,30.40,62.43,1,61,674000.00,335000.00,287000.00,11
2024-09-24,2,0,0,,25.41,0.00,1,62,287000.00,470000.00,418000.00,16
2024-09-25,3,0,0,,25.77,28.49,1,67,418000.00,400000.00,469000.00,18
2024-09-26,4,0,0,,31.81,2.50,1,65,469000.00,464000.00,415000.00,16
2024-09-27,5,0,0,,29.26,16.96,1,67,415000.00,549000.00,489000.00,19
2024-09-28,6,1,0,,32.12,21.20,1,62,489000.00,694000.00,583000.00,23
2024-09-29,7,1,0,,25.25,24.33,1,66,583000.00,674000.00,527000.00,21
2024-09-30,1,0,0,,25.39,9.19,1,68,527000.00,287000.00,374000.00,14
2024-10-01,2,0,0,,26.64,28.74,1,65,374000.00,418000.00,330000.00,13
2024-10-02,3,0,0,,28.12,41.12,1,65,330000.00,469000.00,333000.00,13
2024-10-03,4,0,0,,29.25,13.86,1,64,333000.00,415000.00,387000.00,15
2024-10-04,5,0,0,,25.67,0.00,1,64,387000.00,489000.00,458000.00,18
2024-10-05,6,1,0,,26.48,8.21,1,61,458000.00,583000.00,673000.00,26
2024-10-06,7,1,0,,25.47,19.02,1,70,673000.00,527000.00,532000.00,21
2024-10-07,1,0,0,,31.22,16.17,1,69,532000.00,374000.00,397000.00,15
2024-10-08,2,0,0,,23.40,13.08,1,65,397000.00,330000.00,361000.00,14
2024-10-09,3,0,0,,25.52,21.27,1,61,361000.00,333000.00,396000.00,15
2024-10-10,4,0,0,,26.91,20.75,1,70,396000.00,387000.00,418000.00,16
2024-10-11,5,0,0,,26.49,25.10,1,64,418000.00,458000.00,414000.00,16
2024-10-12,6,1,0,,30.08,7.45,1,68,414000.00,673000.00,555000.00,22
2024-10-13,7,1,0,,25.16,21.10,1,63,555000.00,532000.00,550000.00,22
2024-10-14,1,0,0,,27.74,27.77,1,62,550000.00,397000.00,387000.00,15
2024-10-15,2,0,0,,25.20,34.83,1,69,387000.00,361000.00,338000.00,13
2024-10-16,3,0,0,,22.34,8.29,1,60,338000.00,396000.00,486000.00,19
2024-10-17,4,0,0,,20.62,55.80,1,61,486000.00,418000.00,365000.00,14
2024-10-18,5,0,0,,23.38,35.56,1,65,365000.00,414000.00,363000.00,14
2024-10-19,6,1,0,,21.92,20.55,1,70,363000.00,555000.00,578000.00,23
2024-10-20,7,1,0,,26.81,14.53,1,64,578000.00,550000.00,555000.00,22
2024-10-21,1,0,0,,25.37,0.00,1,63,555000.00,387000.00,421000.00,16
2024-10-22,2,0,0,,25.53,26.95,1,70,421000.00,338000.00,350000.00,14
2024-10-23,3,0,0,,23.54,0.00,1,69,350000.00,486000.00,520000.00,20
2024-10-24,4,0,0,,28.45,7.45,1,68,520000.00,365000.00,509000.00,20
2024-10-25,5,0,0,,23.35,0.00,1,66,509000.00,363000.00,519000.00,20
2024-10-26,6,1,0,,30.62,21.35,1,60,519000.00,578000.00,593000.00,23
2024-10-27,7,1,0,,25.81,7.36,1,65,593000.00,555000.00,566000.00,22
2024-10-28,1,0,0,,26.12,18.63,1,69,566000.00,421000.00,327000.00,13
2024-10-29,2,0,0,,30.37,0.00,1,64,327000.00,350000.00,368000.00,14
2024-10-30,3,0,0,,24.27,29.58,1,68,368000.00,520000.00,408000.00,16
2024-10-31,4,0,0,,26.60,9.18,1,61,408000.00,509000.00,480000.00,19
2024-11-01,5,0,0,,22.16,3.90,1,62,480000.00,519000.00,560000.00,22
2024-11-02,6,1,0,,26.41,52.33,1,61,560000.00,593000.00,480000.00,19
2024-11-03,7,1,0,,30.45,39.63,1,66,480000.00,566000.00,476000.00,19
2024-11-04,1,0,0,,26.61,8.76,1,63,476000.00,327000.00,438000.00,17
2024-11-05,2,0,0,,24.63,4.95,1,63,438000.00,368000.00,429000.00,17
2024-11-06,3,0,0,,27.10,11.38,1,67,429000.00,408000.00,385000.00,15
2024-11-07,4,0,0,,26.06,1.54,1,65,385000.00,480000.00,510000.00,20
2024-11-08,5,0,0,,23.64,8.69,1,65,510000.00,560000.00,471000.00,18
2024-11-09,6,1,0,,22.43,5.57,1,68,471000.00,480000.00,664000.00,26
2024-11-10,7,1,0,,18.16,8.93,1,64,664000.00,476000.00,534000.00,21
2024-11-11,1,0,0,,25.97,23.92,1,64,534000.00,438000.00,373000.00,14
2024-11-12,2,0,0,,25.26,20.56,1,61,373000.00,429000.00,369000.00,14
2024-11-13,3,0,0,,21.78,4.34,1,62,369000.00,385000.00,446000.00,17
